Date,SMALL LoOP,ME1 OP2,ME1 OP3,ME1 OP4,SMALL HiOP,ME2 OP1,ME2 OP2,ME2 OP3,ME2 OP4,ME2 OP5,ME3 OP1,ME3 OP2,ME3 OP3,ME3 OP4,ME3 OP5,ME4 OP1,ME4 OP2,ME4 OP3,ME4 OP4,ME4 OP5,BIG LoOP,ME5 OP2,ME5 OP3,ME5 OP4,BIG HiOP
196506,-9.8245,-9.2202,-10.7159,-8.919,-10.5771,-9.2852,-7.8357,-9.3037,-10.7716,-9.5713,-9.1509,-9.266,-7.8571,-7.8512,-8.291,-8.4904,-8.965,-6.1876,-5.9513,-8.5972,-6.4696,-1.9205,-3.9449,-4.7926,-5.1088
196507,3.1877,1.1076,5.6774,2.7385,3.4349,2.7562,3.167,2.8705,2.4221,2.2674,3.9418,6.2809,2.2072,1.7265,2.6546,3.9907,2.7941,3.8965,2.7015,2.7548,5.63,0.2315,1.306,0.3607,1.9511
196508,3.5786,2.6395,3.8402,4.268,4.6201,5.0029,6.0832,4.4292,2.907,6.8444,5.9328,7.4445,5.7996,3.6097,7.7906,3.2443,5.1569,3.9088,3.3425,5.7677,0.4861,1.7037,1.0947,2.0795,4.7616
196509,4.0871,3.0871,5.9046,3.7295,3.7925,5.0609,5.1206,3.0941,4.3397,2.7361,3.2984,5.5547,4.3328,2.6536,2.4536,4.6469,2.4157,2.0154,3.4221,5.0671,3.9141,1.6733,4.0506,2.8687,4.1294
196510,8.2104,6.8233,7.7025,6.9064,8.3183,6.4602,6.605,3.4227,2.6065,7.1061,4.5669,8.4289,4.0342,4.892,5.9184,4.6243,3.1627,2.8749,3.0976,6.4139,2.2173,0.0131,1.5347,2.5095,4.8207
196511,9.6169,6.0937,4.9332,6.5477,3.6439,4.6931,4.8908,3.3409,1.3807,6.5809,2.277,3.346,4.0295,4.6277,5.6871,0.9211,2.4938,2.79,2.9807,6.6453,1.8296,-2.0473,-1.1578,0.8647,-0.4966
196512,4.6724,3.1588,6.9427,2.4679,7.5747,7.4158,3.4759,3.3829,2.8389,4.678,2.0162,4.7398,3.4947,1.8261,2.4628,6.1354,1.9921,3.228,-0.0612,1.7537,1.3552,0.3998,1.2844,0.8614,0.4864
196601,8.8647,9.2033,4.8171,8.8825,5.6854,7.7549,7.3827,5.5079,0.6664,4.7002,6.9653,3.0635,3.0037,3.7563,3.8142,5.4606,3.5723,2.2105,1.2288,4.0081,3.1098,-0.6427,-1.1962,0.0253,0.9256
196602,5.5386,8.1757,5.1098,5.1942,4.7648,4.4336,1.3205,-0.6454,-0.0791,1.9123,1.9912,4.9279,2.83,-0.5943,1.4065,1.32,-0.3034,-0.8519,-0.3223,3.6359,-2.6165,-1.0953,-3.8023,-1.7879,-0.7371
196603,-0.8315,0.6916,-3.9745,-2.6885,0.8373,-1.5046,-4.3444,-1.3639,-3.3728,-2.5495,-5.3033,-3.7972,-1.2529,-0.4391,-2.5805,-2.1684,-3.694,-2.6333,-2.0792,2.0886,-3.9608,-3.5548,-1.6489,-1.3918,-1.332
196604,5.7238,2.392,6.2097,8.1652,9.6569,7.2188,6.8376,4.3896,1.5208,3.8936,4.0111,3.6944,3.7505,7.3743,3.9022,2.1542,1.6716,4.4088,3.3773,4.2663,0.7296,1.5732,2.832,2.3228,1.603
196605,-12.7721,-10.2141,-10.767,-10.9578,-11.6265,-10.7642,-9.6232,-8.7539,-9.8315,-9.341,-7.9827,-10.0582,-9.2435,-6.677,-7.2655,-9.1819,-6.4125,-5.9898,-5.4571,-6.1124,-5.7799,-4.1666,-4.6802,-4.2122,-4.1481
196606,0.0634,-1.3194,1.4744,3.3898,0.1568,0.1486,0.9444,0.1419,-1.8916,0.5464,-0.7875,1.3062,0.841,4.7859,0.2488,1.3047,-1.8956,1.4744,-1.244,1.7143,-1.242,-0.9996,-1.2179,-2.0541,-1.8945
196607,-1.5582,-1.6512,-2.159,-0.6356,-2.3447,-3.0058,0.7479,-1.5449,-3.3387,-0.9773,0.0774,-0.333,-1.6969,-1.1536,-2.8441,-3.6035,-0.9369,-2.3865,-1.2283,-0.8707,-0.6641,-1.313,-0.057,-0.5553,-1.6316
196608,-11.8425,-11.1794,-10.3975,-9.4398,-10.5363,-9.8957,-10.0684,-11.0434,-10.0697,-10.7103,-6.7352,-9.2927,-8.911,-8.3311,-10.5403,-9.8733,-8.2745,-8.3639,-6.9805,-8.9399,-7.828,-5.5196,-6.9396,-7.109,-8.0775
196609,-1.9686,-2.7007,-1.9593,-1.1673,-1.5174,-2.2845,-1.6782,0.4565,-1.7079,-0.2215,-1.2458,-1.2695,-2.3405,-2.8823,-3.044,-2.7851,-1.4962,-0.625,-0.2087,-1.3851,-0.3761,0.7528,2.5057,-2.4965,-1.6098
196610,-3.7417,-2.9614,-2.6594,-2.8727,-6.0203,-1.4011,-0.2849,1.7782,-0.5274,-4.8207,1.4248,3.6851,2.5042,3.356,0.3496,-0.9329,6.0062,4.0843,3.0619,-2.2462,5.9953,8.7271,7.5061,2.8158,2.2571
196611,3.8532,3.8199,1.6451,4.1457,7.575,3.553,0.3712,2.5754,4.5075,6.0064,4.5039,2.9134,3.248,0.5534,9.0669,4.5819,0.6925,3.3164,2.5007,8.9888,1.7642,-2.0815,-1.8208,1.906,4.9111
196612,1.0024,0.5545,2.7842,5.1197,0.9526,1.3362,2.5848,0.8525,1.2188,3.1403,1.5039,3.0656,1.6808,1.9478,3.7946,2.2952,2.1377,3.7241,1.8052,2.9091,0.8169,-0.301,0.7934,1.5206,-0.9185
196701,18.1184,22.9488,18.9878,18.1441,19.3951,17.2586,18.3635,15.3536,16.9643,19.908,12.1458,13.1639,13.4361,12.525,16.8825,16.2342,9.4407,8.3782,7.9495,11.585,7.8829,5.9711,5.9007,7.0319,8.4106
196702,6.8043,5.0946,3.6412,5.7538,6.237,2.8008,2.4163,2.746,4.4988,0.3082,-0.0162,-0.6362,1.3179,0.7043,2.0206,1.6046,-0.1718,1.0527,0.6949,2.3115,-0.4997,-0.7046,-0.4009,1.3394,2.5401
196703,5.8067,7.9346,7.2004,5.9762,6.3657,5.6258,7.8683,5.4338,8.2749,6.8666,3.5279,8.5911,4.8538,4.0211,7.4375,4.7175,4.3803,6.4588,5.479,6.0419,4.6273,3.1598,3.218,3.4729,5.0708
196704,5.0266,4.9624,4.1748,4.3403,3.8436,3.1644,4.9319,4.3573,6.1186,4.4106,6.6402,4.7539,4.8712,1.3467,5.1124,4.8158,3.728,3.9235,4.6005,8.139,1.6653,2.0213,2.2552,3.8815,7.1337
196705,0.9677,0.4697,-1.6849,-0.5553,-0.4285,-2.0182,-1.8669,-2.1006,-0.6404,-0.7069,-1.9532,-1.5116,-1.6263,-3.4591,-1.8942,-1.2406,-2.0807,-2.4358,-2.8895,-0.8372,-3.1804,-4.5315,-3.0722,-5.8459,-5.7212
196706,12.1536,17.301,9.2197,10.8319,13.4687,7.0606,9.855,7.4744,6.5526,6.4113,5.7378,6.1239,5.1069,2.7071,6.7537,4.523,3.4757,5.5101,1.4853,4.2894,2.8868,1.6067,0.1728,0.2765,1.9868
196707,9.8872,7.0319,8.5612,11.6322,9.3676,8.5021,8.4722,10.7787,6.8774,7.3592,9.2066,7.2097,4.8082,5.0061,6.8146,6.6993,5.2067,5.6614,5.0229,4.8121,7.6039,2.2716,5.3538,6.6379,4.0582
196708,0.9843,-1.2371,-1.8807,1.9397,0.6595,-1.2741,-1.3892,-0.5045,0.6887,0.1402,0.6052,-0.9945,2.0765,-2.8745,-0.4152,1.5741,-0.2344,-3.1051,0.3237,-0.4803,-1.1562,-0.8297,-0.8037,-0.5503,-0.8737
196709,8.4602,10.9628,6.0958,7.9314,9.2168,4.4443,6.4968,3.9685,7.3325,4.2403,1.6846,3.6071,1.8757,6.027,3.6412,2.0788,2.9884,3.934,1.384,3.5624,5.4692,2.6259,1.2928,1.8871,5.1388
196710,-0.4625,0.6949,-1.0761,-3.1456,-2.9712,-4.2389,-1.7592,-3.5502,-0.4434,-3.7462,-1.7629,-2.0102,-0.8343,-3.8904,-3.7736,-2.4544,-3.6582,-6.1994,-5.257,-3.6547,-4.4804,-2.8375,-4.3903,-3.6895,0.2335
196711,-1.969,-0.0615,0.8233,1.2857,0.9234,0.6831,1.6524,0.2367,0.7347,-0.5692,-2.3171,-0.0848,1.1196,0.6563,1.6171,-0.4207,1.2741,2.2333,0.7548,1.4431,0.551,0.2,1.8588,-0.6736,0.944
196712,11.8603,9.2639,7.4821,10.8227,9.6336,11.1383,5.1757,6.1852,6.1062,11.0654,10.4246,4.7274,4.9112,7.9411,4.5745,5.7721,2.5088,3.6211,2.5267,2.495,2.3227,2.3124,3.4051,1.4945,2.5362
196801,5.8827,0.9619,1.352,2.4801,1.19,-0.4019,1.3727,1.1744,-0.7752,-2.6824,-0.2456,0.1233,-2.6172,-2.5813,-3.5198,-0.8597,-3.5969,-4.4051,-3.0278,-5.8606,-0.6389,-1.5609,-3.6205,-5.1161,-7.143
196802,-8.5247,-7.3024,-5.322,-6.5931,-6.882,-3.663,-7.7876,-5.1376,-7.0272,-6.1701,-3.2251,-4.6393,-2.1349,-6.3456,-5.6892,-5.4729,-4.1108,-3.4374,-3.1051,-5.5475,-2.5479,-2.0735,-2.3966,-3.1367,-2.8625
196803,-0.1095,-0.5485,-2.5697,-2.4578,-0.9867,-0.59,0.9277,-2.4256,-0.9996,-0.4163,-1.1871,1,-1.4962,-0.9767,1.3333,-0.4516,0.9408,-0.6013,-2.7343,0.6614,0.7568,-0.8388,-0.2292,0.4314,3.0555
196804,19.2642,16.3132,15.2588,18.1001,18.573,14.6584,13.8611,10.3376,13.3047,18.084,14.4962,9.9112,7.9778,11.8481,17.2792,11.1475,11.012,8.4632,7.333,15.0146,8.7872,3.6632,8.8565,9.4636,10.5459
196805,12.0913,11.5572,9.4281,9.3848,11.729,6.8382,9.7493,7.7525,11.4416,7.6429,7.4623,4.1526,5.6695,3.2461,8.5599,3.1523,3.3625,2.7572,2.7667,4.6079,1.2433,-0.5298,1.4708,-0.0495,2.6911
196806,-0.4572,3.1341,1.8837,0.1866,0.0693,0.4707,0.8242,0.5929,0.3272,-0.1005,-1.0853,0.9712,2.2402,1.3791,0.5997,2.7956,0.9478,3.5346,3.7413,-1.0126,4.5515,2.4375,1.4846,0.0689,-0.4853
196807,-0.648,-5.6222,-5.3431,-4.0634,-4.0328,-2.2936,-4.1565,-3.7164,-4.9553,-6.3511,-1.0865,-5.0752,-1.3801,-3.5763,-5.5513,-4.9436,-1.666,-3.4393,-1.8674,-6.8196,-2.5487,1.9694,1.1993,-3.2374,-4.3625
196808,4.9429,4.7275,4.666,3.2787,4.2311,3.8144,2.9631,2.8914,3.2405,2.1457,2.4607,4.9031,2.628,3.0592,3.0618,5.184,3.373,1.1856,-0.3195,2.2122,2.0987,1.8731,0.9674,0.9636,1.1721
196809,8.8705,7.9352,3.031,6.7558,9.2048,7.4009,5.908,7.342,4.9085,7.2531,7.1889,4.4462,5.2157,6.9392,6.2723,6.6989,7.7312,6.2759,5.5867,6.406,6.7877,4.3757,3.2785,3.9441,2.1346
196810,0.2447,1.3732,1.1242,-0.6559,-1.1551,-0.247,0.1312,0.2114,3.2082,1.4708,0.6279,2.8481,0.8161,0.9088,1.9118,-0.7685,0.1892,1.5628,1.4035,-0.076,3.4377,2.8807,1.4472,0.9542,-1.4543
196811,6.5312,7.1948,6.4345,7.3466,7.742,8.4767,7.0994,9.1413,8.2951,9.0107,10.3914,7.7105,9.3468,7.0753,7.8327,7.8385,5.6632,7.1567,8.1699,7.1673,4.1544,5.1215,4.525,6.1346,5.3513
196812,4.7837,1.4841,-0.5455,0.2417,1.9615,0.5373,-0.5541,-2.1213,-0.5358,-2.6802,-1.3365,-2.0112,-4.2283,-0.801,-2.2897,-2.8536,-1.7251,-4.151,-4.117,-2.8501,-2.9057,-4.226,-3.6611,-4.653,-4.8958
196901,-0.5582,-3.6835,0.0044,-0.8112,-1.533,0.2825,0.2316,0.4483,-2.8743,-2.5106,-0.8396,-1.5473,-0.4953,-2.3331,-2.7765,-0.2953,-1.8334,-0.2761,1.5489,-2.939,0.2334,0.0667,0.8863,-1.4636,-2.325
196902,-11.9166,-9.5274,-9.0968,-9.2619,-10.2259,-10.3282,-8.58,-6.8576,-6.8222,-8.1931,-8.5975,-6.4696,-7.6834,-6.795,-8.0936,-5.7892,-7.7895,-6.8325,-6.6285,-7.49,-6.7719,-4.5598,-3.9342,-4.0964,-3.0786
196903,3.7554,1.6116,1.6126,3.244,2.399,4.3767,2.4662,3.6478,1.1479,3.5626,3.6188,2.8444,0.2426,2.2751,1.8944,2.3028,2.6427,2.8379,-0.1239,2.9869,3.5629,3.8068,4.3413,2.213,3.8741
196904,1.1592,-0.0988,0.0864,-0.8967,0.5106,4.8097,1.856,0.3411,0.8996,0.0128,3.3251,0.5342,2.0593,-2.2121,2.6725,3.2916,1.2541,0.297,1.7525,1.0214,1.5149,2.5263,1.6421,2.483,3.0712
196905,3.0179,1.4873,1.3617,-0.5298,-1.2891,-0.0077,-0.7645,-1.9586,-2.0825,-0.7565,-0.4752,0.3897,-0.4113,2.5511,0.6135,0.6685,0.2683,0.1908,0.0943,-0.4078,0.2617,1.0355,0.3332,-0.3889,0.3909
196906,-14.1989,-13.188,-12.9173,-12.9262,-12.9033,-11.7568,-12.158,-12.1545,-8.9321,-9.7438,-11.6795,-10.0073,-8.3733,-8.8251,-10.2675,-11.4838,-8.8885,-6.8504,-7.0829,-6.9754,-8.7722,-7.4674,-6.9165,-4.3971,-1.6659
196907,-12.1047,-11.3863,-10.723,-10.2681,-11.1594,-10.9494,-9.3553,-6.3121,-7.6768,-11.1921,-8.8957,-8.0142,-8.3304,-7.6111,-8.5593,-8.6233,-7.7957,-5.799,-5.5983,-7.2388,-8.8224,-6.3054,-5.6415,-5.8227,-4.499
196908,3.0602,4.647,3.3949,4.2275,6.5632,5.6465,6.7534,2.3697,4.7037,7.8148,7.576,7.2742,7.6208,4.876,8.2152,6.0882,5.0678,3.615,4.4,8.9174,2.811,4.7676,5.2522,4.5158,5.3389
196909,-3.63,-2.4254,-4.4729,-1.9927,-3.7176,-2.1787,2.109,-1.8972,-1.6521,1.7986,-1.5645,-3.4528,-1.8532,-2.3354,3.1795,-2.3436,-0.9282,-3.1164,-0.3012,-1.1693,-4.9317,-5.0079,-4.2974,-1.0312,-0.8537
196910,11.9558,10.1448,10.5524,9.81,10.9317,6.9877,13.4193,8.1771,6.077,9.8345,8.2288,9.6765,5.4619,7.9558,8.4591,9.5359,6.5769,8.5079,4.1818,8.3272,3.5508,3.5318,2.9217,6.854,5.5378
196911,-6.9862,-6.9941,-6.5269,-6.4328,-7.9871,-3.553,-5.597,-5.0303,-4.5278,-3.1769,-6.202,-3.391,-4.4271,-5.7368,-3.4355,-4.9521,-4.3197,-3.61,-2.9043,-2.4758,-4.0167,-2.5089,-3.9968,-3.3704,-1.9167
196912,-9.1756,-5.9285,-8.2375,-5.9889,-6.3564,-8.7115,-7.6573,-4.606,-5.1726,-3.3134,-4.5019,-4.4876,-3.9672,-3.7588,-0.3543,-1.3612,-2.013,-1.3858,-2.0276,-1.7688,-0.5706,-3.4168,-0.9746,-1.5257,0.0793
197001,-1.1572,-2.8653,-4.0405,-4.7849,-6.8915,-5.0994,-4.4872,-3.5264,-5.9549,-6.4668,-3.9016,-6.5545,-5.4761,-8.933,-7.2667,-10.0632,-8.3092,-6.7019,-6.7167,-7.1385,-7.4917,-7.1755,-9.2331,-7.0103,-8.1166
197002,2.9329,4.152,4.491,3.9303,0.9774,4.0207,3.9761,3.0973,1.9037,5.0579,4.8021,5.4072,5.3686,5.2918,2.8666,8.393,6.4595,6.9937,5.0126,3.6134,8.5227,9.37,5.6664,5.278,4.2675
197003,-4.0144,-3.1141,-3.8947,-5.0678,-4.5552,-2.4586,-2.7841,-1.7735,0.0524,-4.643,-1.4049,-0.4978,-0.0607,-1.5539,-1.5051,-0.7486,0.086,1.0651,0.4431,-2.6081,-1.1388,1.0888,0.7956,-0.5856,-0.4988
197004,-20.1125,-16.0639,-14.7906,-14.8838,-19.1872,-18.6134,-16.0831,-15.0375,-15.2946,-20.1735,-14.7011,-12.331,-13.0698,-10.4528,-18.2694,-13.5364,-13.8488,-9.8615,-9.8516,-13.2517,-6.9295,-8.0106,-8.5256,-10.0072,-9.2294
197005,-11.2239,-8.4072,-9.8315,-8.6212,-9.6316,-8.4911,-13.0858,-9.3477,-8.8523,-11.3779,-10.3726,-9.6513,-10.5532,-11.267,-8.4082,-9.1387,-7.2824,-8.1674,-8.2923,-9.5007,-3.8493,-3.5658,-2.1489,-7.58,-6.3678
197006,-8.275,-9.2621,-7.8817,-8.4041,-10.2915,-10.3443,-7.5057,-6.5944,-7.2628,-6.9454,-7.2142,-6.4643,-5.3201,-4.2534,-6.3934,-7.4249,-7.5085,-3.2509,-2.5558,-2.0812,-3.828,-5.5288,-4.6222,-2.9324,-5.924
197007,3.555,3.3768,5.3911,6.7119,6.0486,6.0601,9.1091,6.079,8.3827,8.1103,3.2456,10.1666,7.3597,7.5787,7.6458,13.8442,10.0612,7.1971,7.3454,6.8421,7.5402,8.642,10.6137,8.7352,3.9762
197008,5.9036,7.9277,6.892,5.7913,6.1643,7.1084,7.0949,6.3204,7.5395,9.6239,6.0267,5.6198,5.4695,6.893,7.1382,4.0602,4.0844,7.5708,6.5454,5.7309,4.611,3.9239,4.076,4.9055,5.3154
197009,15.606,14.5568,14.2224,14.4057,17.7796,14.4301,11.7537,12.0929,9.4524,16.5817,9.9697,6.9338,8.5716,8.4423,13.7869,11.3931,5.2125,3.3778,6.116,7.8483,4.0152,2.184,0.3122,2.4576,5.2615
197010,-8.6523,-8.5624,-8.0445,-5.7661,-7.8698,-8.9422,-3.1732,-4.6321,-4.404,-4.3412,-6.9326,-5.8316,-2.0365,-3.4242,-6.533,-5.5944,-3.6767,-3.8921,-3.2842,-2.3583,-0.1097,-2.214,-0.3379,-0.9728,-0.2428
197011,-4.0454,-1.8993,-0.1363,-0.1016,-0.5491,0.9006,2.7276,3.3935,3.7727,2.0086,2.4364,3.6603,3.4767,4.4044,3.7927,5.6025,6.1078,6.6819,3.0981,5.1251,4.4141,6.0819,5.7412,5.4784,5.5657
197012,7.8305,9.3343,10.5585,10.1693,12.1,8.2378,7.6532,9.5623,7.3004,10.4223,7.1585,7.1328,9.1961,8.1667,8.8108,7.3194,9.8314,8.3404,9.3828,8.0162,6.739,4.3551,5.9592,6.0647,4.9508
197101,16.6911,14.2001,15.4771,13.0067,14.6746,15.1363,9.7483,13.9877,10.9832,7.1902,9.0767,8.464,7.9503,8.8109,9.1697,10.2011,7.3284,8.1862,7.3543,5.151,3.2673,3.602,3.7848,3.0839,3.8264
197102,5.9841,4.5685,5.2605,5.9042,8.3966,0.5726,2.8625,2.8081,3.2028,4.9522,2.6758,3.9609,1.6501,2.291,3.5293,3.6514,1.6507,-0.2326,4.2877,3.1407,1.1398,1.3584,-0.4134,2.2654,1.7434
197103,5.5875,5.9722,5.8617,6.8418,6.8134,1.8469,5.1925,5.9471,5.3097,8.8598,7.3554,5.1695,5.6274,4.5194,9.417,4.8236,5.0159,4.0302,4.2976,6.5753,2.875,3.7238,2.2181,4.503,5.0079
197104,1.7705,3.4693,3.0601,1.8179,1.1341,8.6784,0.7945,1.2165,3.1226,2.2864,5.3668,7.91,3.161,6.1813,3.9364,6.1045,2.9362,4.0373,2.0733,4.6265,5.8652,2.7801,1.7728,3.1613,4.0985
197105,-6.8245,-5.3906,-5.8701,-5.5964,-5.5326,-6.3697,-5.2994,-3.6856,-4.6602,-1.9714,-3.9283,-3.928,-4.0224,-4.3578,-4.0413,-2.8634,-4.3329,-4.4058,-3.3864,-1.8647,-4.9658,-4.2825,-3.7888,-2.1428,-3.6307
197106,-3.1156,-2.0238,-1.9771,-1.8269,-1.1685,-3.097,0.3544,-2.2459,-0.6724,3.6741,-2.0117,-1.2398,-1.9643,0.4289,-0.9818,-0.4446,-0.3756,1.7309,-0.0029,1.3496,-1.03,0.3112,1.4473,2.0244,-0.4764
197107,-7.7418,-4.6805,-6.4442,-6.1628,-9.1673,-5.5143,-5.5526,-3.5663,-5.9821,-6.4949,-5.7381,-4.6803,-5.308,-4.8595,-6.2913,-6.7192,-4.7482,-4.6885,-2.9744,-3.9839,-3.5648,-3.5343,-3.6278,-3.1613,-4.5269
197108,3.8824,3.8931,4.0367,4.2997,5.218,8.398,5.2357,4.8071,4.6454,5.5077,7.9328,4.7122,3.0383,4.5918,7.3153,6.6846,4.4699,4.2487,3.8777,7.2815,6.5975,2.991,2.4796,4.9322,4.6841
197109,-1.4142,-0.5319,-0.049,-0.6311,4.322,-3.6573,-2.6106,0.6719,-0.9979,1.8119,-2.2227,-2.1563,0.4238,-0.0036,1.4701,-2.0324,-1.2395,-1.2695,0.0495,2.0857,-1.9395,-0.9557,-0.7808,-0.4587,0.1712
197110,-8.092,-6.2014,-5.6826,-4.8001,-7.0628,-7.3922,-4.5015,-3.4023,-2.655,-5.9658,-8.6221,-3.0501,-4.8776,-5.4052,-6.6597,-5.2337,-4.5273,-3.1669,-2.5364,-3.1787,-5.1318,-3.1758,-4.4116,-4.4499,-2.7053
